Province/State,Country/Region,Lat,Long,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20
Seoul,"Korea, South",37.566666999999995,126.96666699999999,105.0,108.0,120.0,130.0,141.0,193.0,212.0,225.0,238.0,247.0,253.0,265.0,270.0,282.0,299.0,314.0,324.0,330.0,334.0,347.0,360.0,372.0,390.0,410.0,426.0,450.0,474.0,488.0,506.0,528.0,552.0,563.0,567.0,578.0,590.0,595.0,599.0,602.0,610.0,612.0,617.0,619.0,621.0,622.0,624.0,624.0,626.0,628.0,628.0,628.0,629.0,629.0,629.0,633.0,633.0,633.0,634.0,635.0,637.0,637.0,637.0,637.0,637.0,637.0,649.0,663.0,683.0,695.0,707.0,711.0,725.0,730.0,735.0,736.0,742.0,752.0,756.0,758.0,762.0,768.0,774.0,783.0,802.0,826.0,846.0,855.0,861.0,862.0,876.0,895.0,909.0,924.0,947.0,974.0,996.0,1015.0,1027.0,1048.0,1073.0,1101.0,1113.0,1120.0,1132.0,1145.0,1170.0,1188.0,1202.0,1219.0,1224.0,1230.0,1241.0,1250.0,1267.0,1284.0,1298.0,1305.0,1312.0,1321.0,1334.0,1346.0,1353.0,1369.0,1372.0,1375.0,1385.0,1393.0,1401.0,1409.0,1416.0,1429.0,1436.0,1442.0,1449.0,1458.0,1464.0,1474.0,1477.0,1498.0,1514.0,1526.0,1547.0,1558.0,1565.0,1574.0,1580.0,1589.0,1592.0,1600.0,1602.0,1607.0,1612.0,1621.0,1627.0,1636.0,1645.0,1662.0,1675.0,1688.0,1694.0,1709.0,1735.0,1767.0,1841.0,1987.0,2077.0,2209.0,2360.0
Busan,"Korea, South",35.166667,129.066667,94.0,95.0,96.0,96.0,96.0,98.0,99.0,100.0,103.0,106.0,107.0,107.0,107.0,107.0,108.0,108.0,108.0,109.0,111.0,112.0,112.0,113.0,114.0,117.0,118.0,119.0,122.0,122.0,122.0,122.0,122.0,122.0,123.0,125.0,125.0,126.0,126.0,126.0,126.0,126.0,127.0,130.0,130.0,130.0,130.0,132.0,132.0,134.0,135.0,136.0,136.0,137.0,137.0,137.0,137.0,137.0,137.0,138.0,138.0,138.0,138.0,138.0,138.0,140.0,141.0,141.0,141.0,141.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,145.0,145.0,146.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,148.0,148.0,148.0,148.0,150.0,150.0,150.0,150.0,152.0,152.0,152.0,152.0,152.0,153.0,154.0,154.0,154.0,154.0,155.0,155.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,157.0,157.0,157.0,157.0,157.0,159.0,161.0,166.0,167.0,168.0,170.0,171.0,171.0,171.0,172.0,173.0,173.0,174.0,174.0,177.0,177.0,177.0,177.0,178.0,187.0,191.0,193.0,198.0,201.0,208.0,215.0,222.0,231.0
Daegu,"Korea, South",35.866667,128.6,4694.0,5084.0,5381.0,5571.0,5663.0,5794.0,5867.0,5928.0,5990.0,6031.0,6066.0,6098.0,6144.0,6241.0,6275.0,6344.0,6387.0,6411.0,6442.0,6456.0,6482.0,6516.0,6587.0,6610.0,6624.0,6684.0,6704.0,6725.0,6734.0,6761.0,6768.0,6781.0,6794.0,6803.0,6807.0,6807.0,6814.0,6816.0,6819.0,6822.0,6823.0,6827.0,6827.0,6830.0,6832.0,6833.0,6835.0,6836.0,6840.0,6842.0,6845.0,6846.0,6847.0,6849.0,6852.0,6852.0,6852.0,6852.0,6856.0,6856.0,6856.0,6856.0,6856.0,6859.0,6859.0,6861.0,6861.0,6862.0,6865.0,6865.0,6868.0,6869.0,6870.0,6871.0,6871.0,6872.0,6872.0,6872.0,6873.0,6873.0,6874.0,6875.0,6878.0,6880.0,6880.0,6882.0,6883.0,6884.0,6884.0,6885.0,6885.0,6886.0,6886.0,6887.0,6888.0,6888.0,6888.0,6888.0,6889.0,6892.0,6894.0,6894.0,6894.0,6895.0,6896.0,6896.0,6898.0,6899.0,6900.0,6901.0,6903.0,6903.0,6903.0,6904.0,6904.0,6906.0,6906.0,6907.0,6910.0,6923.0,6924.0,6924.0,6924.0,6925.0,6926.0,6926.0,6926.0,6926.0,6926.0,6927.0,6927.0,6927.0,6929.0,6929.0,6932.0,6932.0,6934.0,6936.0,6937.0,6937.0,6939.0,6939.0,6939.0,6939.0,6939.0,6939.0,6939.0,6940.0,6940.0,6942.0,6942.0,6942.0,6943.0,6943.0,6943.0,6944.0,6945.0,6945.0,6945.0,6945.0,6946.0,6946.0,6946.0,6947.0,6948.0,6954.0,6956.0
Incheon,"Korea, South",37.483333,126.63333300000001,9.0,9.0,9.0,9.0,13.0,25.0,25.0,27.0,28.0,30.0,30.0,31.0,32.0,32.0,36.0,40.0,40.0,40.0,41.0,42.0,43.0,46.0,51.0,58.0,58.0,64.0,69.0,73.0,74.0,77.0,79.0,80.0,80.0,84.0,84.0,85.0,85.0,86.0,87.0,88.0,88.0,88.0,89.0,90.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,94.0,95.0,95.0,96.0,97.0,97.0,97.0,97.0,98.0,101.0,104.0,105.0,107.0,119.0,124.0,124.0,124.0,124.0,126.0,134.0,140.0,141.0,141.0,143.0,144.0,147.0,158.0,180.0,198.0,203.0,206.0,224.0,232.0,249.0,256.0,262.0,273.0,279.0,283.0,286.0,294.0,300.0,301.0,302.0,310.0,318.0,320.0,322.0,323.0,323.0,328.0,328.0,329.0,330.0,333.0,334.0,336.0,336.0,337.0,338.0,341.0,343.0,343.0,344.0,346.0,346.0,352.0,354.0,355.0,358.0,359.0,360.0,360.0,363.0,363.0,364.0,367.0,367.0,369.0,370.0,372.0,372.0,377.0,380.0,380.0,380.0,380.0,380.0,380.0,383.0,383.0,383.0,384.0,384.0,384.0,385.0,386.0,386.0,386.0,388.0,389.0,389.0,389.0,389.0,389.0,393.0,399.0,408.0,415.0,433.0,441.0
Gwangju,"Korea, South",35.166667,126.91666699999999,13.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,24.0,25.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,37.0,41.0,44.0,56.0,78.0,84.0,92.0,108.0,115.0,121.0,129.0,144.0,147.0,156.0,161.0,168.0,169.0,170.0,171.0,176.0,176.0,186.0,187.0,187.0,191.0,200.0,202.0,202.0,203.0,203.0,203.0,204.0,204.0,204.0,204.0,205.0,205.0,207.0,208.0,208.0,208.0,208.0,210.0,210.0,210.0,216.0,218.0,220.0,221.0,228.0,235.0,239.0,245.0
Daejeon,"Korea, South",36.351,127.385,18.0,18.0,18.0,18.0,18.0,18.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,24.0,24.0,24.0,24.0,30.0,31.0,31.0,34.0,34.0,36.0,36.0,36.0,36.0,36.0,37.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,41.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,49.0,54.0,61.0,67.0,72.0,82.0,82.0,86.0,94.0,98.0,102.0,104.0,110.0,112.0,117.0,121.0,122.0,126.0,129.0,137.0,139.0,141.0,143.0,149.0,156.0,158.0,159.0,159.0,160.0,163.0,164.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,167.0,167.0,167.0,168.0,168.0,170.0,170.0,170.0
Ulsan,"Korea, South",35.55,129.316667,23.0,23.0,24.0,24.0,24.0,25.0,25.0,27.0,27.0,28.0,28.0,28.0,30.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,61.0,62.0,62.0,65.0,65.0,68.0,68.0
Sejong,"Korea, South",36.487002000000004,127.282234,1.0,2.0,3.0,6.0,8.0,10.0,15.0,32.0,38.0,39.0,40.0,40.0,41.0,41.0,41.0,41.0,41.0,42.0,42.0,44.0,44.0,44.0,44.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,52.0
Gyeonggi-do,"Korea, South",37.5,127.25,120.0,130.0,141.0,153.0,163.0,175.0,178.0,185.0,200.0,211.0,231.0,262.0,277.0,295.0,309.0,321.0,337.0,351.0,366.0,387.0,401.0,412.0,433.0,448.0,463.0,476.0,499.0,516.0,539.0,562.0,572.0,580.0,590.0,596.0,606.0,615.0,624.0,628.0,631.0,639.0,645.0,649.0,650.0,654.0,654.0,656.0,658.0,658.0,659.0,660.0,662.0,668.0,671.0,674.0,676.0,676.0,678.0,678.0,680.0,681.0,681.0,681.0,682.0,684.0,688.0,694.0,698.0,706.0,708.0,714.0,717.0,721.0,721.0,724.0,725.0,735.0,735.0,741.0,754.0,760.0,766.0,768.0,774.0,795.0,815.0,828.0,840.0,852.0,867.0,879.0,894.0,907.0,915.0,934.0,942.0,955.0,976.0,992.0,1011.0,1025.0,1035.0,1045.0,1050.0,1063.0,1079.0,1090.0,1107.0,1117.0,1123.0,1130.0,1137.0,1146.0,1150.0,1168.0,1184.0,1200.0,1207.0,1223.0,1233.0,1251.0,1270.0,1278.0,1284.0,1297.0,1315.0,1323.0,1337.0,1341.0,1358.0,1369.0,1378.0,1383.0,1404.0,1419.0,1429.0,1433.0,1434.0,1436.0,1451.0,1479.0,1487.0,1501.0,1508.0,1514.0,1520.0,1531.0,1536.0,1546.0,1553.0,1556.0,1557.0,1568.0,1575.0,1588.0,1593.0,1611.0,1626.0,1632.0,1645.0,1664.0,1681.0,1728.0,1800.0,1898.0,1968.0,2020.0,2119.0
Gangwon-do,"Korea, South",37.5,128.25,25.0,26.0,27.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,32.0,34.0,36.0,36.0,38.0,39.0,41.0,42.0,45.0,45.0,47.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,62.0,62.0,62.0,63.0,63.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,69.0,69.0,69.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,74.0,74.0,74.0,74.0,74.0,75.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,78.0,81.0,81.0,82.0,84.0,90.0
